country,region,year,population,lifeexpectancy,healthexpenditure_gdp,extdebt_gni
Afghanistan,South Asia,2009,28394813,60.484,9.81848761439323,19.9958939998469
Afghanistan,South Asia,2010,29185507,61.028,8.56967121362686,15.3347224994822
Afghanistan,South Asia,2011,30117413,61.553,8.56190696358681,13.9744046769564
Afghanistan,South Asia,2012,31161376,62.054,7.89717584848404,12.8817480172867
Afghanistan,South Asia,2013,32269589,62.525,8.80594030022621,12.5420403754658
Afghanistan,South Asia,2014,33370794,62.966,9.52887013554573,12.3513412371547
Afghanistan,South Asia,2015,34413603,63.377,10.1053476333618,12.9282981630427
Afghanistan,South Asia,2016,35383128,63.763,10.9619833528996,13.2843339612008
Afghanistan,South Asia,2017,36296400,64.13,11.7771938443184,13.4636800958384
Angola,Sub-Saharan Africa ,2000,16395473,46.522,1.90859939903021,131.075488741924
Angola,Sub-Saharan Africa ,2001,16945753,47.059,4.48351614177227,119.007813439182
Angola,Sub-Saharan Africa ,2002,17519417,47.702,3.32946144044399,66.7319448796885
Angola,Sub-Saharan Africa ,2003,18121479,48.44,3.54797318577766,56.56921423567
Angola,Sub-Saharan Africa ,2004,18758145,49.263,3.96720096468925,46.4596886931176
Angola,Sub-Saharan Africa ,2005,19433602,50.165,2.85219699144363,37.1097748039819
Angola,Sub-Saharan Africa ,2006,20149901,51.143,2.68553663045168,21.4065385906825
Angola,Sub-Saharan Africa ,2007,20905363,52.177,2.97438818961382,20.6820843221197
Angola,Sub-Saharan Africa ,2008,21695634,53.243,3.3229049295187,20.7120731134453
Angola,Sub-Saharan Africa ,2009,22514281,54.311,3.8426086306572,31.7688308235297
Angola,Sub-Saharan Africa ,2010,23356246,55.35,2.69510000944138,35.12701060587
Angola,Sub-Saharan Africa ,2011,24220661,56.33,2.64560803771019,33.2651186166573
Angola,Sub-Saharan Africa ,2012,25107931,57.236,2.3957496508956,37.6224139871243
Angola,Sub-Saharan Africa ,2013,26015780,58.054,2.73282770067453,43.3189200284834
Angola,Sub-Saharan Africa ,2014,26941779,58.776,2.43412852287292,41.5982422829337
Angola,Sub-Saharan Africa ,2015,27884381,59.398,2.60579492896795,51.0213029183122
Angola,Sub-Saharan Africa ,2016,28842484,59.925,2.71314904093742,59.2747936137733
Angola,Sub-Saharan Africa ,2017,29816748,60.379,2.79150027781725,44.4166403624811
Argentina,Latin America & Caribbean ,2000,36870787,73.576,8.46696421504021,54.2417099417586
Argentina,Latin America & Caribbean ,2001,37275652,73.755,8.62096771597862,58.4932935172091
Argentina,Latin America & Caribbean ,2002,37681749,73.932,7.64670222997665,159.890183546743
Argentina,Latin America & Caribbean ,2003,38087868,74.107,7.11225420236588,133.474955613907
Argentina,Latin America & Caribbean ,2004,38491972,74.28,7.22868293523788,114.783966038451
Argentina,Latin America & Caribbean ,2005,38892931,74.451,7.61083886027336,74.2469415660218
Argentina,Latin America & Caribbean ,2006,39289878,74.62,7.55024775862694,52.8927514497342
Argentina,Latin America & Caribbean ,2007,39684295,74.787,7.61110708117485,43.1591873972818
Argentina,Latin America & Caribbean ,2008,40080160,74.952,7.6721653342247,36.8066405169797
Argentina,Latin America & Caribbean ,2009,40482788,75.116,9.01046246290207,41.4356014785928
Argentina,Latin America & Caribbean ,2010,40788453,75.278,8.61366242170334,30.9578740838785
Argentina,Latin America & Caribbean ,2011,41261490,75.439,8.39656293392181,27.7397316089295
Argentina,Latin America & Caribbean ,2012,41733271,75.598,8.45703780651093,26.2815033344271
Argentina,Latin America & Caribbean ,2013,42202935,75.756,8.37134718894959,27.878287954302
